,Position,Track Name,Artist,Streams
45,46,I Love Me,Demi Lovato,12811166
46,47,My Oh My (feat. DaBaby),Camila Cabello,12589498
47,48,Morado,J Balvin,12586558
48,49,Supalonely,BENEE,12085039
49,50,Moral of the Story,Ashe,12068945
50,51,Homecoming,Lil Uzi Vert,12068329
51,52,I'm Sorry,Lil Uzi Vert,11828199
52,53,Prices,Lil Uzi Vert,11412571
53,54,High Fashion (feat. Mustard),Roddy Ricch,11375719
54,55,WHATS POPPIN,Jack Harlow,10889702
55,56,Hola - Remix,Dalex,10699196
56,57,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,10691864
57,58,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10650207
58,59,Ride It,Regard,10588562
59,60,POP,Lil Uzi Vert,10484727
60,61,Celebration Station,Lil Uzi Vert,10396969
61,62,Diosa,Myke Towers,10359508
62,63,Lose Control,MEDUZA,10092989
63,64,Bigger Than Life,Lil Uzi Vert,9974143
64,65,I Don't Care (with Justin Bieber),Ed Sheeran,9914294
65,66,Bichiyal,Bad Bunny,9880426
66,67,Tattoo,Rauw Alejandro,9856446
67,68,Venetia,Lil Uzi Vert,9824605
68,69,A Tu Merced,Bad Bunny,9784322
69,70,Forever (feat. Post Malone & Clever),Justin Bieber,9724934
70,71,To Die For,Sam Smith,9722034
71,72,hot girl bummer,blackbear,9611357
72,73,You Better Move,Lil Uzi Vert,9533898
73,74,CITY OF ANGELS,24kGoldn,9517415
74,75,lovely (with Khalid),Billie Eilish,9413297
75,76,Soliá,Bad Bunny,9340683
76,77,Keii,Anuel AA,9335232
77,78,"10,000 Hours (with Justin Bieber)",Dan + Shay,9225155
78,79,What A Man Gotta Do,Jonas Brothers,9063194
79,80,25/8,Bad Bunny,8949422
80,81,Se Me Olvidó,Christian Nodal,8725767
81,82,What If I Told You That I Love You,Ali Gatie,8641616
82,83,Está Cabrón Ser Yo,Bad Bunny,8607384
83,84,Beautiful People (feat. Khalid),Ed Sheeran,8525214
84,85,Muévelo,Nicky Jam,8520013
85,86,Hablamos Mañana,Bad Bunny,8478676
86,87,Ballin' (with Roddy Ricch),Mustard,8477579
87,88,HIGHEST IN THE ROOM,Travis Scott,8421659
88,89,Me Gusta,Shakira,8324124
89,90,Shallow,Lady Gaga,8312491
90,91,Suicidal,YNW Melly,8299173
91,92,when the party's over,Billie Eilish,8245898
92,93,Chrome Heart Tags,Lil Uzi Vert,8219307
93,94,Know Your Worth,Khalid,8186922
94,95,Lucid Dreams,Juice WRLD,8176125
95,96,If the World Was Ending - feat. Julia Michaels,JP Saxe,8159326
96,97,LA CANCIÓN,J Balvin,8002193
97,98,Que Malo,Bad Bunny,7973160
98,99,China,Anuel AA,7939446
99,100,La Zona,Bad Bunny,7918726
100,101,Lose You To Love Me,Selena Gomez,7881482
101,102,Bust Me,Lil Uzi Vert,7828045
102,103,ON,BTS,7770074
103,104,rockstar (feat. 21 Savage),Post Malone,7751709
104,105,Callaita,Bad Bunny,7713775
105,106,Never Seen the Rain,Tones And I,7592001
106,107,Boss Bitch,Doja Cat,7583588
107,108,Una Vez,Bad Bunny,7552126
108,109,BOP,DaBaby,7546240
109,110,Watermelon Sugar,Harry Styles,7526768
110,111,Goodbyes (Feat. Young Thug),Post Malone,7458397
111,112,Feel Me,Selena Gomez,7451721
112,113,Who (feat. BTS),Lauv,7429546
113,114,7 rings,Ariana Grande,7412522
114,115,Fantasias,Rauw Alejandro,7366337
115,116,SUGAR,BROCKHAMPTON,7276519
116,117,René,Residente,7240117
117,118,It's You,Ali Gatie,7156674
118,119,No Me Conoce - Remix,Jhay Cortez,7145468
119,120,Falling,Harry Styles,7126787
120,121,Lalala,Y2K,7112136
121,122,Secure The Bag,Lil Uzi Vert,7053947
122,123,<3,Bad Bunny,7031130
123,124,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,6997406
124,125,Woah,Lil Baby,6931264
125,126,Lettre à une femme,Ninho,6813388
126,127,No Idea,Don Toliver,6729795
127,128,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6725612
128,129,Believer,Imagine Dragons,6708817
129,130,B.S. (feat. H.E.R.),Jhené Aiko,6698476
130,131,Happier,Marshmello,6617815
131,132,Wow.,Post Malone,6612382
132,133,Old Town Road - Remix,Lil Nas X,6522488
133,134,The Other Side (from Trolls World Tour),SZA,6461447
134,135,OUT WEST (feat. Young Thug),JACKBOYS,6452778
135,136,Medusa,Jhay Cortez,6430366
136,137,XO Tour Llif3,Lil Uzi Vert,6381811
137,138,Blanco,J Balvin,6340627
138,139,How Do You Sleep?,Sam Smith,6320139
139,140,Urgency (feat. Syd),Lil Uzi Vert,6224412
140,141,Angst,Loredana,6224166
141,142,ON (Feat. Sia),BTS,6219276
142,143,Sucker,Jonas Brothers,6170724
143,144,Without Me,Halsey,6166976
144,145,Bruises,Lewis Capaldi,6149975
145,146,Bohemian Rhapsody - Remastered 2011,Queen,6143266
146,147,P FKN R,Bad Bunny,6041127
147,148,Modern Loneliness,Lauv,6020508
148,149,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,6005412
149,150,Heatin Up (feat. Gunna),Lil Baby,6004839
150,151,Heartless,The Weeknd,5996927
151,152,Shape of You,Ed Sheeran,5972741
152,153,Ransom,Lil Tecca,5947363
153,154,Black Swan,BTS,5924607
154,155,Get You The Moon (feat. Snøw),Kina,5918050
155,156,Say You Won't Let Go,James Arthur,5903479
156,157,July,Noah Cyrus,5888690
157,158,"Alone, Pt. II",Alan Walker,5888189
158,159,SKYBOX,Gunna,5846484
159,160,Whine Up,Nicky Jam,5809874
160,161,Ayy Macarena,Tyga,5730428
161,162,ocean eyes,Billie Eilish,5636122
162,163,SAD!,XXXTENTACION,5617293
163,164,Robbery,Juice WRLD,5602445
